Group,PD
Diamond Jubilee,0.23
Diamond Jubilee,0.7
Diamond Jubilee,0.35
Diamond Jubilee,0.43
Diamond Jubilee,0.62
Sapphire,0.1
Sapphire,0.66
Sapphire,0.27
Sapphire,0.32
Sapphire,0.65
Fruit set,0.78
Fruit set,0.07
Fruit set,0.02
Fruit set,0.23
Fruit set,0.1
Fruit set,0.16
Marketable fruit set,0.9
Marketable fruit set,0.72
Marketable fruit set,0.54
Marketable fruit set,0.7
Marketable fruit set,0.66
Marketable fruit set,0.68
Fruit weight,0.3
Fruit weight,0.3
Fruit weight,0.35
Fruit weight,0.27
Fruit weight,0.3
Marketable fruit weight,0.6
Marketable fruit weight,0.7
Marketable fruit weight,0.62
Marketable fruit weight,0.65
Marketable fruit weight,0.64
2019,0.78
2019,0.99
2020,0.07
2020,0.72
2020,0.3
2020,0.6
2021,0.02
2021,0.54
2021,0.3
2021,0.7
Total,0.78
Total,0.99
Total,0.07
Total,0.72
Total,0.3
Total,0.6
Total,0.02
Total,0.54
Total,0.3
Total,0.7
Total,0.23
Total,0.7
Total,0.35
Total,0.62
Total,0.1
Total,0.66
Total,0.27
Total,0.65
Total,0.16
Total,0.68
Total,0.3
Total,0.64
